Image,Particle 1 Size,Particle 2 Size,Particle 3 Size,Particle 4 Size,Particle 5 Size,Particle 6 Size,Particle 7 Size,Particle 8 Size,Particle 9 Size,Particle 10 Size
out6488_png.rf.15e03c1578258896b05b11fa6ceb7b25.jpg,8.5,2.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,2.5
out21058_png.rf.99c8b0cfed5cfe6fd9a96bee70f0afa1.jpg,35.5,0.0,14.5,0.0,7.5,0.0,0.0,0.0,1.0,0.0
out3742_png.rf.1e492ff6357256a228bb4fb25081694a.jpg,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5
out6125_png.rf.41f63e4db174410fbcf669a6687ae8d7.jpg,2.5,8.0,0.0,267.0,0.0,8.0,0.0,2.5,0.0,0.0
out12287_png.rf.cec5d57df140c495fa0b05ccb879de38.jpg,1.0,0.0,0.0,406.0,0.0,0.0,0.0,1458.5,0.0,0.0
out3839_png.rf.d8df0795fe668ccc17197b6aff3d5c57.jpg,9.0,8.0,0.0,14.5,0.0,21.5,3.0,0.0,5.5,0.0
out20874_png.rf.b92af469d3d1333dce8516cba2bb6457.jpg,0.0,2.0,0.0,3.0,7.5,8.0,4.0,0.0,0.0,1.0
out20746_png.rf.a98b3d72a39ada88ed0d33e6d9b63b0a.jpg,0.0,0.0,0.0,0.0,0.0,1.5,5.0,0.0,0.0,0.0
out21405_png.rf.c0573fae7ed0c779afb06e842d434895.jpg,0.0,1.5,0.0,1.0,0.0,12.0,0.0,0.5,0.0,0.0
out3852_png.rf.c671d82440f133bac822ddbe1f06ee90.jpg,0.0,7.0,0.0,13.0,1.0,1.0,2.0,0.0,0.0,0.5
out4337_png.rf.6d8aad836f3db17c79141888c074de4a.jpg,10.0,0.0,3.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0
out20507_png.rf.b4284a11901a8ea44feabb19a2258753.jpg,1.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0
out20497_png.rf.a5c44df7ad1331a106ca5883f8af4193.jpg,0.0,0.5,0.0,1.5,0.0,18.5,0.0,0.0,1.5,0.0
out6479_png.rf.7209994506ae3636f7f9aac1bf2d3c59.jpg,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
out4477_png.rf.7ae1f87e052c6f54e3c32b466bb4f387.jpg,9.0,9.0,75.5,0.0,75.0,0.0,0.0,0.0,0.0,18.0
out21097_png.rf.fc8e5624e1881c989a653d4f39952654.jpg,0.0,0.0,31.0,1.0,4.0,244.5,1.5,2.5,2.0,0.0
out3770_png.rf.2a3af74cb501c9bc7db10006e23b9a07.jpg,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
out4011_png.rf.3e2e85fe7c5304e4b7c919ca065226c2.jpg,8.0,0.0,2.0,3.5,7.0,6.0,6.5,0.0,0.0,0.0
out3925_png.rf.3565e1e5218d1d74727924d4f1390011.jpg,8.0,5.0,0.0,3.5,0.0,0.0,0.0,0.0,5.0,0.0
out3973_png.rf.72d6c60a059a81078bf96d2d1cc791be.jpg,8.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
out20688_png.rf.b839e9e608461a1a0d8aafd39f268e03.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
